timestamp,asset,event,reason,z_score,cbd_score,analyst_signal,analyst_confidence,risk_approved,risk_rejection_reason,analyst_reasoning,risk_summary
2026-04-06 00:31:00+00:00,CC,trigger_admitted,z_score,2.0794096930210415,0.3875904060707531,long,0.743870856655834,True,,Triggered by z_score; z=2.079; abs_return=0.00194; CBD omega=0.388; rho_cb=0.736; deterministic proxy decision.,Approved by deterministic hard gates.
2026-04-06 00:32:00+00:00,SOL,trigger_discarded,pipeline_busy_or_global_cooldown,2.7546395523686673,,,,,,,
2026-04-06 00:33:00+00:00,CC,trigger_discarded,pipeline_busy_or_global_cooldown,2.1919661078388235,,,,,,,
2026-04-06 00:33:00+00:00,ETH,trigger_discarded,pipeline_busy_or_global_cooldown,2.5254618484487366,,,,,,,
2026-04-06 00:33:00+00:00,XPL,trigger_discarded,pipeline_busy_or_global_cooldown,2.239227567359762,,,,,,,
2026-04-06 00:34:00+00:00,SOL,trigger_discarded,pipeline_busy_or_global_cooldown,2.163068251658505,,,,,,,
2026-04-06 00:37:00+00:00,FARTCOIN,trigger_discarded,pipeline_busy_or_global_cooldown,2.0291989973929385,,,,,,,
2026-04-06 00:38:00+00:00,CC,trigger_discarded,pipeline_busy_or_global_cooldown,3.2679037976144136,,,,,,,
2026-04-06 00:42:00+00:00,AVAX,trigger_discarded,pipeline_busy_or_global_cooldown,3.1020864097310823,,,,,,,
2026-04-06 00:47:00+00:00,XPL,trigger_discarded,pipeline_busy_or_global_cooldown,2.0506556491644745,,,,,,,
2026-04-06 00:51:00+00:00,AVAX,trigger_discarded,pipeline_busy_or_global_cooldown,2.0127146615825358,,,,,,,
2026-04-06 00:52:00+00:00,BTC,trigger_discarded,pipeline_busy_or_global_cooldown,2.1187295046123884,,,,,,,
2026-04-06 00:53:00+00:00,AVAX,trigger_discarded,pipeline_busy_or_global_cooldown,2.1364165214460713,,,,,,,
2026-04-06 00:54:00+00:00,SOL,trigger_discarded,pipeline_busy_or_global_cooldown,2.5542952214744314,,,,,,,
2026-04-06 00:57:00+00:00,BTC,trigger_discarded,pipeline_busy_or_global_cooldown,2.1192636159039266,,,,,,,
2026-04-06 01:00:00+00:00,BTC,trigger_discarded,pipeline_busy_or_global_cooldown,2.2303774607433815,,,,,,,
2026-04-06 01:01:00+00:00,XPL,trigger_admitted,z_score,2.3915170842768423,0.40633621174196727,short,0.7725886090905408,True,,Triggered by z_score; z=2.392; abs_return=0.00231; CBD omega=0.406; rho_cb=0.635; deterministic proxy decision.,Approved by deterministic hard gates.
2026-04-06 01:04:00+00:00,XPL,trigger_discarded,pipeline_busy_or_global_cooldown,3.9506355151261663,,,,,,,
2026-04-06 01:06:00+00:00,ETH,trigger_discarded,pipeline_busy_or_global_cooldown,2.3777348957173725,,,,,,,
2026-04-06 01:08:00+00:00,ETH,trigger_discarded,pipeline_busy_or_global_cooldown,2.862693782592089,,,,,,,
2026-04-06 01:11:00+00:00,CC,trigger_discarded,pipeline_busy_or_global_cooldown,2.5542515888556,,,,,,,
2026-04-06 01:12:00+00:00,SOL,trigger_discarded,pipeline_busy_or_global_cooldown,2.8652671294036396,,,,,,,
2026-04-06 01:12:00+00:00,XPL,trigger_discarded,pipeline_busy_or_global_cooldown,2.296611075767546,,,,,,,
2026-04-06 01:14:00+00:00,FARTCOIN,trigger_discarded,pipeline_busy_or_global_cooldown,3.104262511961545,,,,,,,
2026-04-06 01:21:00+00:00,ETH,trigger_discarded,pipeline_busy_or_global_cooldown,3.1254942386883657,,,,,,,
2026-04-06 01:26:00+00:00,BCH,trigger_discarded,pipeline_busy_or_global_cooldown,2.9415819585390115,,,,,,,
